"i_scenario","i_type","i_N","i_min.futime","i_min.postexp.futime","i_exp.prop","i_lambda","i_rho","i_rateC","i_beta","N_eff","N_effexp_p","bhat","HR","d","d_c","d_exp","mst_c","mst_exp","pow"
" ","td",600,4,4,0.2,0.0288811325233311,1,0.0495105128971389,0.3,428.5,0.183928972219772,0.313848499156554,1.39080176637976,130.8,101.7,29.1,23.7450280454723,21.3710884612574,0.4
" ","td",600,4,4,0.2,0.0288811325233311,1,0.0495105128971389,0.3,428.5,0.183928972219772,0.313848499156554,1.39080176637976,130.8,101.7,29.1,23.7450280454723,21.3710884612574,0.4
" ","td",600,4,4,0.2,0.0288811325233311,1,0.0495105128971389,0.3,428.5,0.183928972219772,0.313848499156554,1.39080176637976,130.8,101.7,29.1,23.7450280454723,21.3710884612574,0.4
" ","td",600,4,0,0.2,0.0288811325233311,1,0.0495105128971389,0.3,430.6,0.187990171834891,0.332846814309038,1.42265117565909,131.4,101.7,29.7,23.7450280454723,21.0335415679858,0.4
